epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.10000000,3.793284,11.4600,3.508349,17.1000,17.1000
2,0.10000000,3.066924,23.4480,2.892966,27.3900,27.3900
3,0.10000000,2.528095,33.7340,2.449132,35.8800,35.8800
4,0.10000000,2.160554,41.4880,2.167345,42.0100,42.0100
5,0.10000000,1.924465,46.9720,2.191590,43.0000,43.0000
6,0.10000000,1.773002,50.5900,1.942588,47.6200,47.6200
7,0.10000000,1.660253,53.4560,1.869542,48.5500,48.5500
8,0.10000000,1.586384,55.4620,2.060541,46.6300,48.5500
9,0.10000000,1.522064,56.8720,1.802425,51.1700,51.1700
10,0.10000000,1.481064,57.8260,1.705042,52.8000,52.8000
11,0.10000000,1.443112,58.9140,1.713033,52.5900,52.8000
12,0.10000000,1.419060,59.4960,1.860258,50.1600,52.8000
13,0.10000000,1.389990,60.2700,1.723718,52.8900,52.8900
14,0.10000000,1.366186,60.7480,1.729538,53.4500,53.4500
15,0.10000000,1.348390,61.1020,1.862018,51.5700,53.4500
16,0.10000000,1.333522,61.7080,1.720632,54.4400,54.4400
17,0.10000000,1.310997,62.1680,1.794988,52.4700,54.4400
18,0.10000000,1.305313,62.4600,1.494490,57.9800,57.9800
19,0.10000000,1.280542,63.1520,1.631928,55.3700,57.9800
20,0.10000000,1.274599,63.1160,1.618151,56.3500,57.9800
21,0.10000000,1.260831,63.5220,1.765385,53.9200,57.9800
22,0.10000000,1.258315,63.7440,1.617533,56.3200,57.9800
23,0.10000000,1.251251,63.8080,1.633268,56.5500,57.9800
24,0.10000000,1.241723,64.0440,1.617264,56.4800,57.9800
25,0.10000000,1.235219,64.2720,1.501959,58.0500,58.0500
26,0.10000000,1.227291,64.4660,1.518155,58.8400,58.8400
27,0.10000000,1.216913,64.7360,1.664569,55.6200,58.8400
28,0.10000000,1.218393,64.6480,1.679257,55.1400,58.8400
29,0.10000000,1.208608,65.0960,1.913321,50.0700,58.8400
30,0.10000000,1.206078,65.2120,1.703149,55.2100,58.8400
31,0.10000000,1.206422,64.8680,1.538532,57.7900,58.8400
32,0.10000000,1.196039,65.2180,1.725089,54.7400,58.8400
33,0.10000000,1.194882,65.3720,1.670486,56.0500,58.8400
34,0.10000000,1.179657,65.5660,1.583158,56.8600,58.8400
35,0.10000000,1.194830,65.3980,1.730303,54.5400,58.8400
36,0.10000000,1.184034,65.7480,1.639491,55.9800,58.8400
37,0.10000000,1.166637,66.1080,1.540823,58.0000,58.8400
38,0.10000000,1.178905,65.9620,1.736502,55.0100,58.8400
39,0.10000000,1.177642,65.6960,1.512550,58.4900,58.8400
40,0.10000000,1.166513,66.0640,1.626849,56.2600,58.8400
41,0.10000000,1.160132,66.0800,1.614663,56.4100,58.8400
42,0.10000000,1.161793,66.1520,1.481774,59.6800,59.6800
43,0.10000000,1.153408,66.3860,1.603400,57.1400,59.6800
44,0.10000000,1.160637,66.3040,1.672082,55.8700,59.6800
45,0.10000000,1.158343,66.4940,1.615529,56.4400,59.6800
46,0.10000000,1.151684,66.6420,1.473394,59.2000,59.6800
47,0.10000000,1.150269,66.4520,1.894130,50.7500,59.6800
48,0.10000000,1.151934,66.3980,1.539038,58.1400,59.6800
49,0.10000000,1.153469,66.1880,1.657571,55.0200,59.6800
50,0.10000000,1.146121,66.6880,1.569467,57.3100,59.6800
51,0.10000000,1.145452,66.6300,1.581404,56.8800,59.6800
52,0.10000000,1.141857,66.5980,1.483738,59.3200,59.6800
53,0.10000000,1.135334,66.9000,1.795596,53.6400,59.6800
54,0.10000000,1.137666,66.8200,1.726307,54.1800,59.6800
55,0.10000000,1.141147,66.8200,1.593477,57.6600,59.6800
56,0.10000000,1.136035,66.9920,1.503019,58.7500,59.6800
57,0.10000000,1.131969,67.0820,1.750633,54.6800,59.6800
58,0.10000000,1.133329,66.9740,1.749237,54.9600,59.6800
59,0.10000000,1.139960,66.6720,1.574347,57.9800,59.6800
60,0.01000000,1.128833,67.0080,1.583942,57.9900,59.6800
61,0.01000000,0.755888,77.5260,0.920089,73.1500,73.1500
62,0.01000000,0.627983,81.3900,0.897414,74.0200,74.0200
63,0.01000000,0.574584,82.7660,0.886091,74.5200,74.5200
64,0.01000000,0.536606,83.9120,0.900709,74.7800,74.7800
65,0.01000000,0.507013,84.8400,0.896189,74.6100,74.7800
66,0.01000000,0.479368,85.5160,0.908764,74.8800,74.8800
67,0.01000000,0.458732,86.2480,0.921371,74.0700,74.8800
68,0.01000000,0.434915,86.8740,0.924470,74.3900,74.8800
69,0.01000000,0.417466,87.5920,0.916526,74.5200,74.8800
70,0.01000000,0.399926,87.8100,0.936512,74.4200,74.8800
71,0.01000000,0.384386,88.5320,0.942003,74.8100,74.8800
72,0.01000000,0.373508,88.8240,0.973304,73.9000,74.8800
73,0.01000000,0.358032,89.2760,0.955100,74.1400,74.8800
74,0.01000000,0.349922,89.3860,0.974631,73.9400,74.8800
75,0.01000000,0.337259,89.7480,0.995482,73.4500,74.8800
76,0.01000000,0.331650,90.0140,1.007412,73.2400,74.8800
77,0.01000000,0.326317,90.0440,1.004228,73.0500,74.8800
78,0.01000000,0.319402,90.3780,1.023450,73.0400,74.8800
79,0.01000000,0.310535,90.5600,1.045043,72.3700,74.8800
80,0.00100000,0.309401,90.6200,1.070879,72.8600,74.8800
81,0.00100000,0.220883,93.9220,0.937984,75.4900,75.4900
82,0.00100000,0.182687,95.3360,0.932695,75.8500,75.8500
83,0.00100000,0.172432,95.7020,0.936536,75.7600,75.8500
84,0.00100000,0.163884,96.0460,0.935498,75.8800,75.8800
85,0.00100000,0.156818,96.3140,0.937637,75.7100,75.8800
86,0.00100000,0.151806,96.3260,0.942074,75.4500,75.8800
87,0.00100000,0.147577,96.5440,0.945934,75.6300,75.8800
88,0.00100000,0.143871,96.7840,0.948441,75.6400,75.8800
89,0.00100000,0.139857,96.8580,0.946033,75.6400,75.8800
90,0.00100000,0.136326,96.9220,0.948134,75.6800,75.8800
91,0.00100000,0.132351,97.1420,0.951950,75.7200,75.8800
92,0.00100000,0.128588,97.2160,0.952724,75.8000,75.8800
93,0.00100000,0.127196,97.2160,0.960960,75.5700,75.8800
94,0.00100000,0.123165,97.4900,0.956368,75.7500,75.8800
95,0.00100000,0.123091,97.3540,0.962937,75.6300,75.8800
96,0.00100000,0.119682,97.5420,0.964367,75.5400,75.8800
97,0.00100000,0.117929,97.6100,0.962596,75.3800,75.8800
98,0.00100000,0.115548,97.6060,0.965112,75.4900,75.8800
99,0.00100000,0.114092,97.6600,0.972689,75.5300,75.8800
100,0.00100000,0.111705,97.7480,0.971852,75.4200,75.8800
