epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.01000000,0.512106,82.6840,0.336600,88.6300,88.6300
2,0.01000000,0.290300,89.9880,0.294099,90.0200,90.0200
3,0.01000000,0.238536,91.6360,0.293916,89.9900,90.0200
4,0.01000000,0.202839,93.0380,0.269556,91.0800,91.0800
5,0.01000000,0.177590,93.9160,0.270669,91.2200,91.2200
6,0.01000000,0.168320,94.2720,0.256304,91.4800,91.4800
7,0.01000000,0.145220,95.0840,0.272944,91.2700,91.4800
8,0.01000000,0.135104,95.2740,0.286183,90.8700,91.4800
9,0.01000000,0.125015,95.6180,0.260037,91.7500,91.7500
10,0.01000000,0.121705,95.6920,0.288723,91.2300,91.7500
11,0.01000000,0.113068,96.0580,0.256009,91.8300,91.8300
12,0.01000000,0.104524,96.4120,0.278944,91.6100,91.8300
13,0.01000000,0.105060,96.4100,0.269036,91.8400,91.8400
14,0.01000000,0.095778,96.6480,0.272251,91.7100,91.8400
15,0.01000000,0.097618,96.5680,0.274478,91.6500,91.8400
16,0.01000000,0.093965,96.7420,0.267129,91.8700,91.8700
17,0.01000000,0.088814,96.8880,0.275100,91.9400,91.9400
18,0.01000000,0.087423,96.9760,0.286723,91.4300,91.9400
19,0.01000000,0.085627,96.9940,0.277892,91.9400,91.9400
20,0.01000000,0.082973,97.1520,0.294505,91.3500,91.9400
21,0.01000000,0.084677,97.0860,0.295289,91.3200,91.9400
22,0.01000000,0.083376,97.1380,0.275363,91.9500,91.9500
23,0.01000000,0.076646,97.3360,0.315890,91.2900,91.9500
24,0.01000000,0.081585,97.0700,0.304249,91.2100,91.9500
25,0.01000000,0.079468,97.2600,0.282729,91.6700,91.9500
26,0.01000000,0.073965,97.4800,0.288686,91.8100,91.9500
27,0.01000000,0.071018,97.5540,0.293675,91.7700,91.9500
28,0.01000000,0.079112,97.2120,0.272599,91.9600,91.9600
29,0.01000000,0.075122,97.3940,0.277429,92.0000,92.0000
30,0.01000000,0.076752,97.3360,0.293004,91.6600,92.0000
31,0.01000000,0.066962,97.7420,0.291095,91.5300,92.0000
32,0.01000000,0.071960,97.5440,0.277906,92.2600,92.2600
33,0.01000000,0.073362,97.4180,0.289453,91.9500,92.2600
34,0.01000000,0.072702,97.4920,0.295844,91.5600,92.2600
35,0.01000000,0.068457,97.6960,0.293062,91.8800,92.2600
36,0.01000000,0.068663,97.6140,0.299842,91.7600,92.2600
37,0.01000000,0.068196,97.6660,0.322213,91.1200,92.2600
38,0.01000000,0.075191,97.3480,0.323205,91.0300,92.2600
39,0.01000000,0.069810,97.6300,0.267448,92.3000,92.3000
40,0.01000000,0.070740,97.5740,0.269303,92.2400,92.3000
41,0.01000000,0.068326,97.6640,0.287759,91.8100,92.3000
42,0.01000000,0.074881,97.4400,0.288489,91.7100,92.3000
43,0.01000000,0.068498,97.6840,0.270962,92.3600,92.3600
44,0.01000000,0.070722,97.6140,0.292863,92.1200,92.3600
45,0.01000000,0.066066,97.7460,0.290861,91.8400,92.3600
46,0.01000000,0.072665,97.5720,0.298443,91.4100,92.3600
47,0.01000000,0.067707,97.6980,0.320709,91.3600,92.3600
48,0.01000000,0.068025,97.6340,0.301184,91.4100,92.3600
49,0.01000000,0.067901,97.6480,0.305551,91.4800,92.3600
50,0.01000000,0.065687,97.7600,0.274077,92.3800,92.3800
