epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.10000000,1.422958,47.8300,1.227648,57.4400,57.4400
2,0.10000000,0.901287,68.2560,0.945313,68.1600,68.1600
3,0.10000000,0.693068,75.9160,0.742174,74.7700,74.7700
4,0.10000000,0.589180,79.8420,0.808240,74.5600,74.7700
5,0.10000000,0.534135,81.6740,0.577603,79.8800,79.8800
6,0.10000000,0.501074,82.6780,0.786131,73.5300,79.8800
7,0.10000000,0.475271,83.6780,0.659141,77.9500,79.8800
8,0.10000000,0.460273,84.1680,0.590809,80.0500,80.0500
9,0.10000000,0.448432,84.5540,0.536187,81.4500,81.4500
10,0.10000000,0.435994,84.9480,0.844963,73.5900,81.4500
11,0.10000000,0.431693,85.2160,0.573279,80.7700,81.4500
12,0.10000000,0.427239,85.4280,0.708286,77.4700,81.4500
13,0.10000000,0.418496,85.6080,0.625846,79.4900,81.4500
14,0.10000000,0.416552,85.7460,0.727019,76.0900,81.4500
15,0.10000000,0.416695,85.6040,0.748858,77.5800,81.4500
16,0.10000000,0.411297,85.7300,0.531041,81.9900,81.9900
17,0.10000000,0.406547,85.9520,0.571592,81.1200,81.9900
18,0.10000000,0.402079,86.0220,0.630894,78.9900,81.9900
19,0.10000000,0.400254,86.1500,0.518448,82.5100,82.5100
20,0.10000000,0.396990,86.3420,0.494883,83.5300,83.5300
21,0.10000000,0.396258,86.2340,0.581292,80.7400,83.5300
22,0.10000000,0.391816,86.5220,0.494701,83.2300,83.5300
23,0.10000000,0.390472,86.5900,0.572498,81.2300,83.5300
24,0.10000000,0.383937,86.7240,0.493743,83.3500,83.5300
25,0.10000000,0.383140,86.7580,0.669722,78.6000,83.5300
26,0.10000000,0.383264,86.8840,1.033458,71.3000,83.5300
27,0.10000000,0.375561,87.1560,0.565694,81.4200,83.5300
28,0.10000000,0.381076,86.8780,0.542027,81.8900,83.5300
29,0.10000000,0.376604,87.0680,0.750340,75.7200,83.5300
30,0.10000000,0.379810,86.8440,0.767589,78.0500,83.5300
31,0.10000000,0.369723,87.3540,0.545380,81.2800,83.5300
32,0.10000000,0.369536,87.2940,0.676498,79.2900,83.5300
33,0.10000000,0.372955,87.1300,0.561031,81.4900,83.5300
34,0.10000000,0.368493,87.4200,0.619464,80.1600,83.5300
35,0.10000000,0.362844,87.5320,0.546980,81.8400,83.5300
36,0.10000000,0.372000,87.3620,0.485411,83.5700,83.5700
37,0.10000000,0.361523,87.5100,0.515324,82.9000,83.5700
38,0.10000000,0.363513,87.5480,0.535819,82.1900,83.5700
39,0.10000000,0.360743,87.5540,0.557256,82.2500,83.5700
40,0.10000000,0.365843,87.4780,0.517593,83.0800,83.5700
41,0.10000000,0.364522,87.5280,0.490740,83.6900,83.6900
42,0.10000000,0.365182,87.3060,0.762251,75.7000,83.6900
43,0.10000000,0.361459,87.5440,0.466156,84.0400,84.0400
44,0.10000000,0.358805,87.6760,0.641878,79.0400,84.0400
45,0.10000000,0.355677,87.8680,0.547460,82.5300,84.0400
46,0.10000000,0.361509,87.5100,0.602235,80.5000,84.0400
