epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.10000000,4.490085,3.7600,4.030068,6.8800,6.8800
2,0.10000000,3.805694,10.4380,3.628592,13.9000,13.9000
3,0.10000000,3.406099,17.4100,3.258463,20.4500,20.4500
4,0.10000000,3.003010,24.7500,2.841637,27.4400,27.4400
5,0.10000000,2.583920,32.5460,2.948867,29.2000,29.2000
6,0.10000000,2.251524,39.8460,2.490236,37.1000,37.1000
7,0.10000000,2.042493,44.6060,2.532452,37.2200,37.2200
8,0.10000000,1.884197,48.1980,2.106992,44.5900,44.5900
9,0.10000000,1.783300,50.7740,2.187393,43.5400,44.5900
10,0.10000000,1.690588,53.0080,1.903520,48.2600,48.2600
11,0.10000000,1.618681,55.0540,1.966447,47.6100,48.2600
12,0.10000000,1.562606,56.0920,1.876485,49.1500,49.1500
13,0.10000000,1.508171,57.3600,2.116606,46.3200,49.1500
14,0.10000000,1.466080,58.5380,1.824096,50.9700,50.9700
15,0.10000000,1.428495,59.4600,2.067507,47.2900,50.9700
16,0.10000000,1.392635,60.2760,1.702986,54.4000,54.4000
17,0.10000000,1.354783,61.3800,2.260936,45.1400,54.4000
18,0.10000000,1.334083,61.9120,1.834153,52.4500,54.4000
19,0.10000000,1.302251,62.8180,1.879150,51.0600,54.4000
20,0.10000000,1.288929,63.2300,1.576372,56.2500,56.2500
21,0.10000000,1.254488,64.0140,1.798872,51.6700,56.2500
22,0.10000000,1.239652,64.4740,1.802964,53.0500,56.2500
23,0.10000000,1.222179,64.9300,2.153692,47.9300,56.2500
24,0.10000000,1.198301,65.1040,1.752871,54.3000,56.2500
25,0.10000000,1.188280,65.8480,2.055075,48.5300,56.2500
26,0.10000000,1.161791,66.5060,1.689992,54.5200,56.2500
27,0.10000000,1.151292,66.4720,1.891869,50.8300,56.2500
28,0.10000000,1.136126,67.1120,2.299599,47.0700,56.2500
29,0.10000000,1.131079,67.1860,1.964964,51.6500,56.2500
30,0.10000000,1.110468,67.9420,1.754929,54.1400,56.2500
31,0.10000000,1.101420,67.9920,1.683575,55.0500,56.2500
32,0.10000000,1.101793,67.9140,1.582314,57.2700,57.2700
33,0.10000000,1.079491,68.7560,1.591524,57.8000,57.8000
34,0.10000000,1.075136,68.6800,1.798678,54.0900,57.8000
35,0.10000000,1.072165,68.7560,1.732181,55.0300,57.8000
36,0.10000000,1.058060,69.3760,1.703776,54.9900,57.8000
37,0.10000000,1.056853,69.3600,1.605133,56.8800,57.8000
38,0.10000000,1.045687,69.5080,1.435182,60.4400,60.4400
39,0.10000000,1.036926,69.6980,1.667901,56.5900,60.4400
40,0.10000000,1.030550,69.9860,2.222873,48.3500,60.4400
41,0.10000000,1.025987,70.1020,1.511342,58.9300,60.4400
42,0.10000000,1.019024,70.2800,1.643058,57.0800,60.4400
43,0.10000000,1.013021,70.4040,1.881796,55.1200,60.4400
44,0.10000000,1.001180,70.6320,1.647911,56.9600,60.4400
45,0.10000000,1.011563,70.4500,1.750370,56.0700,60.4400
46,0.10000000,0.997684,70.8160,1.842669,55.1600,60.4400
47,0.10000000,0.998116,71.0700,2.286708,46.4900,60.4400
48,0.10000000,0.986270,71.0180,1.523773,58.7500,60.4400
49,0.10000000,0.989599,71.0900,1.675613,55.8600,60.4400
50,0.10000000,0.981901,71.6180,2.156710,52.2000,60.4400
51,0.10000000,0.988977,71.0920,1.937421,55.0600,60.4400
52,0.10000000,0.984520,71.2360,1.609724,57.9400,60.4400
53,0.10000000,0.979934,71.3500,1.843969,53.4900,60.4400
54,0.10000000,0.972704,71.5340,2.021346,52.0100,60.4400
55,0.10000000,0.977807,71.5220,1.694531,56.8900,60.4400
56,0.10000000,0.956517,71.8800,1.853081,54.3400,60.4400
57,0.10000000,0.962473,71.7140,1.765274,55.5400,60.4400
58,0.10000000,0.958031,71.9360,1.637400,57.0500,60.4400
59,0.10000000,0.961832,71.8100,1.664789,57.1300,60.4400
60,0.01000000,0.965247,71.5860,1.947739,52.1600,60.4400
61,0.01000000,0.553828,84.1040,0.853495,75.5000,75.5000
62,0.01000000,0.417857,88.2580,0.834573,76.1000,76.1000
63,0.01000000,0.365926,89.9680,0.827027,76.3900,76.3900
64,0.01000000,0.324046,91.2860,0.819576,76.8300,76.8300
65,0.01000000,0.287968,92.4140,0.832895,76.5800,76.8300
66,0.01000000,0.259642,93.2700,0.837611,76.7800,76.8300
67,0.01000000,0.234854,94.0620,0.845559,76.7600,76.8300
68,0.01000000,0.212520,94.7240,0.852224,77.0900,77.0900
69,0.01000000,0.193786,95.4660,0.859543,76.5200,77.0900
70,0.01000000,0.173749,96.1480,0.865584,76.7500,77.0900
71,0.01000000,0.157187,96.6060,0.873788,76.6300,77.0900
72,0.01000000,0.144208,97.0520,0.868396,76.4300,77.0900
73,0.01000000,0.129346,97.5540,0.894956,75.9000,77.0900
74,0.01000000,0.120575,97.6960,0.912751,76.3400,77.0900
75,0.01000000,0.111113,98.0320,0.915956,76.1400,77.0900
76,0.01000000,0.104041,98.2420,0.926160,75.6700,77.0900
77,0.01000000,0.095792,98.4600,0.924262,76.0100,77.0900
78,0.01000000,0.090129,98.6080,0.919945,76.5900,77.0900
79,0.01000000,0.083824,98.7360,0.932876,76.0900,77.0900
80,0.00100000,0.079762,98.8860,0.953612,75.9400,77.0900
81,0.00100000,0.056771,99.4440,0.869199,77.4500,77.4500
82,0.00100000,0.045862,99.6840,0.869937,77.6900,77.6900
83,0.00100000,0.043613,99.7340,0.867814,77.8400,77.8400
84,0.00100000,0.040368,99.7620,0.869240,77.9900,77.9900
85,0.00100000,0.039090,99.7520,0.870786,77.8600,77.9900
86,0.00100000,0.038914,99.7720,0.867978,78.0700,78.0700
87,0.00100000,0.037531,99.7880,0.867872,78.0800,78.0800
88,0.00100000,0.037702,99.7880,0.875166,77.8100,78.0800
89,0.00100000,0.036964,99.7760,0.873118,77.9300,78.0800
90,0.00100000,0.035044,99.8280,0.873991,77.8400,78.0800
91,0.00100000,0.035344,99.8100,0.874067,77.8200,78.0800
92,0.00100000,0.034227,99.8340,0.876683,77.7900,78.0800
93,0.00100000,0.033813,99.8240,0.876638,77.8900,78.0800
94,0.00100000,0.033339,99.8460,0.873886,77.7700,78.0800
95,0.00100000,0.032546,99.8500,0.873760,77.8400,78.0800
96,0.00100000,0.032315,99.8760,0.875686,77.8600,78.0800
97,0.00100000,0.032105,99.8580,0.876547,77.8700,78.0800
98,0.00100000,0.031321,99.8840,0.878398,77.8800,78.0800
99,0.00100000,0.030769,99.9060,0.880969,77.7500,78.0800
100,0.00100000,0.030795,99.8720,0.878239,77.7900,78.0800
