epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.01000000,0.517505,82.8440,0.329770,88.9300,88.9300
2,0.01000000,0.258758,91.2060,0.280541,90.5000,90.5000
3,0.01000000,0.198848,93.1980,0.262867,91.0500,91.0500
4,0.01000000,0.162412,94.4580,0.279764,90.6700,91.0500
5,0.01000000,0.135902,95.3360,0.269783,91.6300,91.6300
6,0.01000000,0.117896,95.9540,0.258736,91.6000,91.6300
7,0.01000000,0.101672,96.6000,0.261133,91.6500,91.6500
8,0.01000000,0.090771,96.9220,0.283949,91.4200,91.6500
9,0.01000000,0.081843,97.3360,0.280821,91.5800,91.6500
10,0.01000000,0.073700,97.5940,0.250993,92.5000,92.5000
11,0.01000000,0.065965,97.8420,0.288674,91.8200,92.5000
12,0.01000000,0.066094,97.8360,0.315571,90.7600,92.5000
13,0.01000000,0.058217,98.1280,0.254234,92.5500,92.5500
14,0.01000000,0.054187,98.2840,0.301914,91.4900,92.5500
15,0.01000000,0.053259,98.2620,0.297538,91.2900,92.5500
16,0.01000000,0.050282,98.3520,0.310865,91.3800,92.5500
17,0.01000000,0.047894,98.4680,0.274213,91.6100,92.5500
18,0.01000000,0.044545,98.6180,0.280568,92.1800,92.5500
19,0.01000000,0.047053,98.4800,0.288244,92.0200,92.5500
20,0.01000000,0.045524,98.5580,0.267197,92.4900,92.5500
21,0.01000000,0.044121,98.6000,0.275683,92.2500,92.5500
22,0.01000000,0.040734,98.8060,0.274936,92.2500,92.5500
23,0.01000000,0.038906,98.8240,0.287638,92.1800,92.5500
24,0.01000000,0.047295,98.4580,0.258969,92.3400,92.5500
25,0.01000000,0.046047,98.5220,0.275678,92.2400,92.5500
26,0.01000000,0.038536,98.8460,0.287742,92.4200,92.5500
27,0.01000000,0.041858,98.6900,0.306250,91.3700,92.5500
28,0.01000000,0.035871,98.9500,0.306843,91.7000,92.5500
29,0.01000000,0.035514,98.9460,0.284957,92.1800,92.5500
30,0.01000000,0.035368,98.9300,0.324113,91.0400,92.5500
31,0.01000000,0.039151,98.8680,0.323448,91.5000,92.5500
32,0.01000000,0.038515,98.8680,0.306369,91.2700,92.5500
33,0.01000000,0.040588,98.7300,0.306795,91.5100,92.5500
34,0.01000000,0.034888,99.0140,0.292092,91.8200,92.5500
35,0.01000000,0.041785,98.7720,0.277701,92.1800,92.5500
36,0.01000000,0.039599,98.8180,0.279441,91.9000,92.5500
37,0.01000000,0.036828,98.9260,0.299341,91.6100,92.5500
38,0.01000000,0.041443,98.7460,0.308018,91.2700,92.5500
39,0.01000000,0.046427,98.5660,0.287369,91.8700,92.5500
40,0.01000000,0.047370,98.5540,0.290740,91.8600,92.5500
41,0.01000000,0.039448,98.8160,0.313810,91.3600,92.5500
42,0.01000000,0.039330,98.8440,0.307580,91.5000,92.5500
43,0.01000000,0.043465,98.6180,0.316117,91.2300,92.5500
44,0.01000000,0.041513,98.7040,0.272811,92.0200,92.5500
45,0.01000000,0.042643,98.7940,0.277604,91.8300,92.5500
46,0.01000000,0.048249,98.5000,0.315167,91.1800,92.5500
47,0.01000000,0.040035,98.8160,0.303747,91.1500,92.5500
48,0.01000000,0.040632,98.8380,0.336056,91.1400,92.5500
49,0.01000000,0.038380,98.9100,0.293713,91.7900,92.5500
50,0.01000000,0.037036,98.9260,0.377332,89.7000,92.5500
