epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.10000000,2.247090,24.7720,1.716609,34.5200,34.5200
2,0.10000000,1.537289,42.7380,1.506400,45.1200,45.1200
3,0.10000000,1.258514,54.2960,1.211681,56.3700,56.3700
4,0.10000000,1.077281,61.6920,1.057155,62.8600,62.8600
5,0.10000000,0.941251,66.8160,1.262002,57.0200,62.8600
6,0.10000000,0.831624,70.7560,0.863981,69.9300,69.9300
7,0.10000000,0.748334,73.7200,0.825676,72.0800,72.0800
8,0.10000000,0.687065,75.9660,0.913681,69.4400,72.0800
9,0.10000000,0.633164,77.9800,0.734773,75.2500,75.2500
10,0.10000000,0.584899,79.7560,0.713516,75.1600,75.2500
11,0.10000000,0.552827,80.8840,0.613477,78.9400,78.9400
12,0.10000000,0.519558,82.0280,0.985233,69.9000,78.9400
13,0.10000000,0.505854,82.5340,0.748759,75.9300,78.9400
14,0.10000000,0.490738,83.0940,0.805459,75.0100,78.9400
15,0.10000000,0.475789,83.5260,0.632251,79.1000,79.1000
16,0.10000000,0.464404,83.9400,0.591016,80.5500,80.5500
17,0.10000000,0.445892,84.6200,0.647262,77.8800,80.5500
18,0.10000000,0.446004,84.5480,0.619916,79.2900,80.5500
19,0.10000000,0.434793,84.9400,1.353230,67.7600,80.5500
20,0.10000000,0.425495,85.4480,0.696633,76.9600,80.5500
21,0.10000000,0.424333,85.4440,0.619706,78.8800,80.5500
22,0.10000000,0.413942,85.7280,0.591451,80.3000,80.5500
23,0.10000000,0.408311,85.9000,0.600428,80.1500,80.5500
24,0.10000000,0.403788,86.2320,0.647763,79.2900,80.5500
25,0.10000000,0.394991,86.3880,0.532784,83.2300,83.2300
26,0.10000000,0.394990,86.2780,0.601330,79.1500,83.2300
27,0.10000000,0.386955,86.5920,0.677845,78.2000,83.2300
28,0.10000000,0.383332,86.6680,0.696055,78.3200,83.2300
29,0.10000000,0.378000,86.9820,0.573076,81.0300,83.2300
30,0.10000000,0.372762,87.0660,0.520168,82.8000,83.2300
31,0.10000000,0.371034,87.1080,0.565614,80.8800,83.2300
32,0.10000000,0.369206,87.2220,0.797864,75.5300,83.2300
33,0.10000000,0.368770,87.1600,0.673616,78.2400,83.2300
34,0.10000000,0.364146,87.4940,0.594758,80.1200,83.2300
35,0.10000000,0.361155,87.5400,0.857877,73.2200,83.2300
36,0.10000000,0.357958,87.7140,0.629236,80.6100,83.2300
37,0.10000000,0.356210,87.7740,0.742037,78.0300,83.2300
38,0.10000000,0.356410,87.6460,0.547427,81.8300,83.2300
39,0.10000000,0.356929,87.8200,0.459466,84.1400,84.1400
40,0.10000000,0.353491,87.8300,0.535698,82.2900,84.1400
41,0.10000000,0.344955,88.0360,0.568585,80.8900,84.1400
42,0.10000000,0.351153,87.9000,0.552089,81.9700,84.1400
43,0.10000000,0.346575,87.9440,0.514482,82.4700,84.1400
44,0.10000000,0.337433,88.4160,0.582259,81.7500,84.1400
45,0.10000000,0.346124,87.9400,0.516512,82.7800,84.1400
46,0.10000000,0.349912,87.9200,0.687873,76.6800,84.1400
47,0.10000000,0.339447,88.3200,0.546809,81.8700,84.1400
48,0.10000000,0.340071,88.2400,0.564636,82.2800,84.1400
49,0.10000000,0.335828,88.2160,0.656506,78.8800,84.1400
50,0.10000000,0.338635,88.3220,0.802712,75.5000,84.1400
51,0.10000000,0.332729,88.5540,0.548478,81.1000,84.1400
52,0.10000000,0.336059,88.4900,0.645390,79.8300,84.1400
53,0.10000000,0.331358,88.5020,0.671680,78.8800,84.1400
54,0.10000000,0.336883,88.5180,0.664085,78.6200,84.1400
55,0.10000000,0.332423,88.4580,0.622302,80.0800,84.1400
